sentence,label
maybe tomorrow should be better than yesterday,0
no valve break for 3 more,0
what 's the point of being the only,1
keep alert until 10pm and the sub will come,0
looks sooooo much more addictive,0
you dedicate me fat and exciting at the same time,0
that 's also dk flickr support,0
i 've been having a great day with friends and,1
i'm glad that almost made my,0
i think my computer has died i want to,0
i am absolutely shattered because shut down calories,0
yeah i am going home early today i hope,1
all the time in my head,1
he 's not on a boat yet,1
wish i had n't been to the pool today,1
yesterday back to the exciting 311 falls,0
i will be forgotten it by mistake,0
i'm going in for a visit and i 've started a,1
definitely i have n't slept in so,1
i will happily hit the hay ily for once,0
that means the world is n't going to,1
will work still kick and have a day off,0
very intimate that much i hate u,0
if my son is n't so funny she does n't care about her mom he 's just,1
ca n't wait to go home,0
5 and a 24 more sleeps with friends,1
we 'll be in a few places in,1
oh lame jealous prices are so bad,0
oh noo ca n't make sense,0
it 's fic day 25 minutes to go,0
and so others are developed donuts away,0
jonas brother performance before they are white,0
awww good thing we go meet ca n't wait lost track of history,0
oh wait i didnt realize this date,0
save me quotoh whaaat i will see soon,0
oh no i do n't have any followers anymore,1
me either i do n't think that,1
i love having withdrawals love u 2 days,0
my dad is a little sad,1
you 'll think of us for,0
let 's make it a blockbuster day tomorrow and then i,1
i 've been stabbed completely yesterday and the art of a bug,0
my makeup via deleted something,0
i have to go back home to get my car,1
boo hoo i was just listening and,1
she 's probably crazyness in the,0
something awkward with that urban verse hopefully it was nice woo and thanks anyway lol,0
just got back from a walk in the park with and,1
so i have to wait until i,1
lucas austen amy amp erica are proud of greys boyle,0
time warner 320 to win a copy,1
goin back to manc headed to target who wants,0
u must always try to find smoke food,0
does not mean it happened toquot and almost simultaneously but singers,0
boyfriend and dad are making the most beautiful little girl,1
really tired but i feel sick,1
i am going to miss you,1
but i'm sure i 'll be ok,1
my tweetdeck girl yipee got nothing wme to,0
ir are so cute amp sad i hear ian come,0
will be back in the next few weeks,1
get to have a good time at the,1
prob putting the balcony oil in,0
u love me it feels embarassed lol,0
home from the gym and i have to get,1
hooray oh man penguins vs arsenal,0
hey tom got you some me in school solo so,0
could only do that i love it,1
it literally made me want some,0
okay so this place just came out of nowhere i got to find,0
