sentence,label
maybe tomorrow should be better than yesterday,0
no valve break for 3 more,0
not sure if i 'll get to,1
keep alert until 10pm and the sub will come,0
looks sooooo much more addictive,0
you dedicate me fat and exciting at the same time,0
that 's also dk flickr support,0
ranting on my new blog post,1
i'm glad that almost made my,0
i think my computer has died i want to,0
i am absolutely shattered because shut down calories,0
it 's like 10 am and i'm still tired,1
get a new car for me,1
housing is the most awesome thing to do,1
i think i am going to go to the gym,1
yesterday back to the exciting 311 falls,0
i will be forgotten it by mistake,0
why arent you getting a copy,1
s that 's a nice idea,1
i will happily hit the hay ily for once,0
it 's all gone from my new house,1
will work still kick and have a day off,0
very intimate that much i hate u,0
oh and thanks to for mentioning me for posting,1
ca n't wait to go home,0
just wanted to say happy birthday to our little sisters,1
me too but i do n't have any money,1
oh lame jealous prices are so bad,0
oh noo ca n't make sense,0
it 's fic day 25 minutes to go,0
and so others are developed donuts away,0
jonas brother performance before they are white,0
awww good thing we go meet ca n't wait lost track of history,0
oh wait i didnt realize this date,0
save me quotoh whaaat i will see soon,0
anybody want to go to the beach,1
now that 's a good idea,1
i love having withdrawals love u 2 days,0
even though i do n't like it when i'm in bed and,1
you 'll think of us for,0
is going to get the sims 3 in,1
i 've been stabbed completely yesterday and the art of a bug,0
my makeup via deleted something,0
i am so sorry to hear that,1
yeah i have the worst headache,1
she 's probably crazyness in the,0
something awkward with that urban verse hopefully it was nice woo and thanks anyway lol,0
forget the first day of work,1
we 're going to the beach,1
lucas austen amy amp erica are proud of greys boyle,0
we 're gonna miss the show,1
goin back to manc headed to target who wants,0
u must always try to find smoke food,0
does not mean it happened toquot and almost simultaneously but singers,0
ordered some new cds and a new pair of shoes for,1
well i'm in bed right now so i 'll have a good,1
nothing like a good morning to you,1
gonna have to start packing for our trip,1
my tweetdeck girl yipee got nothing wme to,0
ir are so cute amp sad i hear ian come,0
at the airport waiting for the flight,1
it sucks because its my favorite of the,1
prob putting the balcony oil in,0
u love me it feels embarassed lol,0
i'm so sorry to hear that,1
hooray oh man penguins vs arsenal,0
hey tom got you some me in school solo so,0
i like the show we played on the radio that,1
it literally made me want some,0
okay so this place just came out of nowhere i got to find,0
